	Class	Age	Sex	Survived	predicted_survived	Predicted_label_1	Predicted_label_-1
0	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
1	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
2	0.0	1.0	1.0	1.0	1	0.6132419112920505	0.38675808870794953
3	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
4	1.0	0.0	0.0	-1.0	1	0.6906976744186046	0.3093023255813953
5	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
6	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
7	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
8	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
9	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
10	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
11	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
12	0.0	0.0	0.0	-1.0	1	0.9202799902470741	0.0797200097529259
13	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
14	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
15	1.0	0.0	1.0	1.0	-1	0.13436218294801267	0.8656378170519874
16	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
17	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
18	0.0	0.0	1.0	1.0	-1	0.44518291217104794	0.554817087828952
19	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
20	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
21	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
22	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
23	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
24	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
25	1.0	0.0	1.0	1.0	-1	0.13436218294801267	0.8656378170519874
26	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
27	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
28	1.0	0.0	0.0	-1.0	1	0.6906976744186046	0.3093023255813953
29	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
30	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
31	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
32	0.0	0.0	1.0	-1.0	-1	0.44518291217104794	0.554817087828952
33	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
34	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
35	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
36	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
37	0.0	0.0	1.0	-1.0	-1	0.44518291217104794	0.554817087828952
38	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
39	1.0	0.0	0.0	1.0	1	0.6906976744186046	0.3093023255813953
40	1.0	1.0	0.0	1.0	1	0.8152507676560901	0.1847492323439099
41	1.0	0.0	0.0	-1.0	1	0.6906976744186046	0.3093023255813953
42	1.0	0.0	1.0	1.0	-1	0.13436218294801267	0.8656378170519874
43	0.0	0.0	1.0	-1.0	-1	0.44518291217104794	0.554817087828952
44	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
45	0.0	0.0	1.0	-1.0	-1	0.44518291217104794	0.554817087828952
46	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
47	0.0	0.0	1.0	1.0	-1	0.44518291217104794	0.554817087828952
48	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
49	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
50	0.0	0.0	1.0	-1.0	-1	0.44518291217104794	0.554817087828952
51	0.0	0.0	1.0	-1.0	-1	0.44518291217104794	0.554817087828952
52	1.0	0.0	1.0	1.0	-1	0.13436218294801267	0.8656378170519874
53	1.0	0.0	0.0	-1.0	1	0.6906976744186046	0.3093023255813953
54	1.0	0.0	0.0	1.0	1	0.6906976744186046	0.3093023255813953
55	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
56	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
57	0.0	0.0	1.0	1.0	-1	0.44518291217104794	0.554817087828952
58	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
59	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
60	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
61	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
62	0.0	0.0	1.0	1.0	-1	0.44518291217104794	0.554817087828952
63	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
64	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
65	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
66	1.0	1.0	1.0	-1.0	-1	0.23472614726786706	0.765273852732133
67	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
68	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
69	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
70	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
71	1.0	0.0	1.0	1.0	-1	0.13436218294801267	0.8656378170519874
72	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
73	1.0	0.0	0.0	1.0	1	0.6906976744186046	0.3093023255813953
74	1.0	0.0	0.0	-1.0	1	0.6906976744186046	0.3093023255813953
75	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
76	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
77	1.0	0.0	1.0	-1.0	-1	0.13436218294801267	0.8656378170519874
78	1.0	0.0	1.0	1.0	-1	0.13436218294801267	0.8656378170519874
79	1.0	0.0	1.0	1.0	-1	0.13436218294801267	0.8656378170519874
80	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
81	0.0	0.0	1.0	-1.0	-1	0.44518291217104794	0.554817087828952
82	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
83	0.0	0.0	0.0	1.0	1	0.9202799902470741	0.0797200097529259
